p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,partido_democrat,partido_republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
y,n,y,n,n,n,y,y,y,y,y,y,n,y,n,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,n,n,y,y,y,y,y,n,n,y,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,y,n
n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,y,y,n
y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
n,n,n,y,n,y,y,n,y,n,n,y,y,y,n,y,n,y
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,n,y
n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,n,y,n,y,y,n,n,n,n,y,n,y,y,n,n,y,n
n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y,n,y
n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,n,y
y,n,y,n,y,y,y,n,y,n,y,n,y,y,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,y,y,n
y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y,y,n
n,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y,n,y
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,y,y,n
y,n,n,n,y,y,y,n,y,n,n,n,n,y,y,n,y,n
n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,n,y
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,n
n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y,n,y
n,y,y,n,n,y,n,y,y,n,y,n,n,n,y,y,y,n
n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,y,n
n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,y,y,n
n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,n,n,y,n,n,n,y,y,y,n
n,y,y,n,n,y,y,y,y,y,n,n,n,y,y,y,y,n
y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,n,y
n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,y,n
y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,y,y,n
n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,y,n
n,y,y,n,n,y,y,y,y,n,y,n,n,n,n,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,n,y
n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,y,n
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,y,n
y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
y,y,y,y,y,y,y,y,n,y,n,y,y,y,n,y,n,y
n,y,y,n,n,y,y,y,y,n,y,y,n,n,y,y,y,n
y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,y,n
n,y,y,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n
y,n,y,n,n,y,y,y,y,n,n,y,n,y,y,y,y,n
n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n,y,n
y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,y,y,n
y,y,n,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,n
n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,y,y,n
n,n,y,n,y,y,n,n,n,n,y,y,y,y,n,y,y,n
n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,n,y
y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,n,y,y,y,n,y,n,n,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,n
y,y,y,n,n,y,y,y,y,y,y,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,y,n
n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,y,n
y,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,y,n
y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,n,y
y,y,y,n,n,y,y,y,n,n,y,y,n,y,n,y,y,n
y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y,y,n
n,y,y,n,n,y,y,y,y,y,y,n,n,n,n,y,y,n
n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,n,y
n,y,n,n,y,y,n,n,y,n,n,y,y,y,n,y,y,n
y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,y,n
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,y,n
n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,y,n
n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,n,y
n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,n
n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
y,y,y,n,n,n,n,y,n,n,y,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n
n,y,y,y,y,y,y,n,n,n,n,n,y,y,y,y,n,y
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,y,n
y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,y,n,y
n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y,n,y
y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,y,n
y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,n,y
y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,n,y
y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,y,n
n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,y,n
y,y,y,n,n,y,y,y,n,y,y,n,n,n,y,y,y,n
y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,y,n
y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,n,y,n,y,n,y,y,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n
y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,n,n,y,y,y,y,y,n,n,y,y,y,y,n
n,y,y,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,y,n
y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,y,n
n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,n,y,y,n,n,n,y,y,y,n
n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n,n,y
n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y,y,n
n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,n,y,n,n,n,n,y,n,y,n,n,y,y,n
y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,y,n
n,y,n,y,y,n,n,n,n,n,n,y,y,y,n,n,n,y
n,n,y,n,n,y,y,y,y,y,n,n,n,y,y,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,y,n
y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,y,n
n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n
n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,n,y
y,y,y,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n
n,n,y,n,n,y,y,y,n,n,y,n,n,y,y,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,y,n
n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
y,n,y,n,n,y,y,y,y,y,n,n,y,y,n,y,y,n
n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,n,y
y,y,y,n,n,y,n,y,n,n,y,n,y,y,n,y,y,n
n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,y,y,n
n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,y,n
y,y,y,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,y,n
y,y,y,n,y,y,n,n,y,y,n,n,n,y,y,y,y,n
y,y,y,n,y,y,n,n,n,n,y,n,y,y,n,n,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,y,n
n,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n
n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y,n,y
n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,y,n
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,n,y,n,n,y,n,y,y,y,y,y,n,n,n,y,y,n
n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,n
y,y,n,n,n,y,y,n,n,n,y,y,n,y,n,y,y,n
n,n,y,n,n,y,y,y,y,y,y,y,n,y,y,y,y,n
n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n
n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,y,n
y,n,y,n,y,y,n,y,y,n,y,n,n,n,y,y,y,n
y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,y,y,n
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,n
n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n
n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y
n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,y,n
n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y,n,y
n,y,y,n,n,y,y,y,y,y,y,n,n,n,y,y,y,n
y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y,n,y
n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y,n,y
n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,n,n,y,y,y,n,n,n,n,y,n,y,y,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,y,n
y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,y,n
n,n,n,y,y,n,y,y,n,y,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n
y,y,y,n,n,y,n,n,n,n,y,n,y,n,n,y,y,n
n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,n,n,y,n,n,n,n,n,y,n,y,y,n,y,y,n
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,y,n,n,n,y,y,y,y,y,n,n,n,y,n,y,y,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,n,y
n,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,y,n
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,y,n
n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,n,y
n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,y,n
n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
y,y,y,y,y,y,n,n,y,n,y,n,y,y,n,n,y,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,n,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,y,n
n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,y,y,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y,y,n
n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n
y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,y,y,n
y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n
n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,y,n
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,n,y
n,y,n,y,n,y,n,y,y,n,n,y,y,n,n,y,n,y
